NAME,B01003_001E,B19013_001E,B17001_002E,state,county
"Logan County, Kentucky",26851,38570,5103,21,141
"Mercer County, Kentucky",21342,42083,3862,21,167
"Union County, Kentucky",15138,40120,4091,21,225
"Calloway County, Kentucky",38106,37034,8015,21,035
"Washington County, Kansas",5686,45159,649,20,201
"Morton County, Kansas",3106,46028,325,20,129
"Pueblo County, Colorado",161519,41286,31017,08,101
"Montrose County, Colorado",40815,43999,7644,08,085
"Morgan County, Colorado",28359,48450,3218,08,087
"Park County, Colorado",16189,56969,1170,08,093
"Saguache County, Colorado",6238,33393,1450,08,109
"Mesa County, Colorado",147834,49322,22545,08,077
"Prowers County, Colorado",12235,40179,2264,08,099
"Hinsdale County, Colorado",874,57083,70,08,053
"El Paso County, Colorado",655024,58206,75033,08,041
"Washington County, Colorado",4795,45541,466,08,121
"Grand County, Colorado",14411,63628,1543,08,049
"Arapahoe County, Colorado",608310,63265,67679,08,005
"Otero County, Colorado",18572,32311,4396,08,089
"Broomfield County, Colorado",60699,81898,3930,08,014
"New Castle County, Delaware",549643,65476,60487,10,003
"Sussex County, Delaware",207302,53751,25754,10,005
"Kent County, Delaware",169509,54976,22074,10,001
"District of Columbia, District of Columbia",647484,70848,110365,11,001
"New Haven County, Connecticut",862224,61640,108533,09,009
"Litchfield County, Connecticut",186304,72061,12893,09,005
"Hartford County, Connecticut",896943,66395,104196,09,003
"New London County, Connecticut",273185,66233,25766,09,011
"Tolland County, Connecticut",151948,79626,9511,09,013
"Fairfield County, Connecticut",939983,84233,82743,09,001
"Duval County, Florida",890673,47690,150792,12,031
"Bradford County, Florida",27223,41606,4896,12,007
"Clay County, Florida",197417,58290,20580,12,019
"Lafayette County, Florida",8801,35864,1425,12,067
"Nassau County, Florida",75880,54116,9652,12,089
"Pinellas County, Florida",931477,45819,131643,12,103
"St. Lucie County, Florida",288006,43459,52201,12,111
"Hendry County, Florida",38363,36771,9696,12,051
"Indian River County, Florida",142866,45798,20272,12,061
"Palm Beach County, Florida",1378806,53363,197340,12,099
"St. Johns County, Florida",210495,66194,19706,12,109
"Miami-Dade County, Florida",2639042,43129,530006,12,086
"Flagler County, Florida",100783,47866,14814,12,035
"Franklin County, Florida",11628,40401,1977,12,037
"Hamilton County, Florida",14395,35048,3234,12,047
"Liberty County, Florida",8295,39406,1237,12,077
"Sumter County, Florida",108501,50350,10802,12,119
"Gadsden County, Florida",46424,35567,11907,12,039
"Holmes County, Florida",19635,35020,4903,12,059
"Collier County, Florida",341091,57452,47436,12,021
"Okeechobee County, Florida",39255,35405,9965,12,093
"Pasco County, Florida",479288,45064,66144,12,101
"Highlands County, Florida",98328,35093,18863,12,055
"Suwannee County, Florida",43595,36289,10012,12,121
"DeSoto County, Florida",34957,35165,10123,12,027
"Calhoun County, Florida",14615,34510,2407,12,013
"Columbia County, Florida",67806,41926,12498,12,023
"Dixie County, Florida",16091,36292,3061,12,029
"Putnam County, Florida",72696,31715,20397,12,107
"Union County, Florida",15191,39163,2002,12,125
"Manatee County, Florida",343729,49675,51595,12,081
"Levy County, Florida",39821,35782,8601,12,075
"Baker County, Florida",27135,47121,4393,12,003
"Volusia County, Florida",503719,41117,85881,12,127
"Leon County, Florida",282940,46745,60286,12,073
"Madison County, Florida",18729,32164,4269,12,079
"Daviess County, Kentucky",98173,45989,14948,21,059
"Henderson County, Kentucky",46396,41036,8602,21,101
"Jackson County, Kentucky",13357,29826,4163,21,109
"Meade County, Kentucky",29098,49884,4810,21,163
"Oldham County, Kentucky",63037,85452,3503,21,185
"Rockcastle County, Kentucky",16942,31555,4105,21,203
"Allen County, Kentucky",20355,41326,3454,21,003
"Bullitt County, Kentucky",76961,55975,7911,21,029
"Fulton County, Kentucky",6422,28359,1641,21,075
"Knott County, Kentucky",16000,30411,4308,21,119
"Muhlenberg County, Kentucky",31309,38961,6000,21,177
"Wolfe County, Kentucky",7261,20504,3058,21,237
"Bell County, Kentucky",27950,22443,10233,21,013
